model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std
logistic_regression,0.5769230769230769,0.16012815380508716,0.5277777777777778,0.2118894035613008,0.5073324823324824,0.19429834455597267
random_forest,0.6153846153846154,0.10878565864408422,0.5611111111111111,0.1284603347853676,0.5517676767676768,0.1533752096477421
